consecutivo;genero;fecha_nac;carrera;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
1;Masculino;19/01/2000;Ingenieria de control;3.5;3;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;7
2;Masculino;5/09/1999;Ingenieria de Sistemas E Informatica;3.8;3;propio.;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;3
3;Masculino;12/10/2001;Ingenieria de Sistemas E Informatica;3.5;2;propio.;No;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
4;Femenino;21/01/2000;Ingenieria de Sistemas E Informatica;3.3;3;No;prestado.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su musica favorita mientras estudia.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;7
5;Masculino;22/11/2002;Estadistica;3.8;3;No;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Escucha su musica favorita mientras estudia.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
6;Masculino;14/06/2000;Ingenieria de Sistemas E Informatica;3.6;2;No;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;4
7;Masculino;24/09/1999;Ingenieria de Sistemas E Informatica;3.8;3;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;9
8;Femenino;7/09/2000;Ingenieria Industrial;NA;3;propio.;prestado.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
9;Masculino;13/10/2000;Ingenieria de Sistemas E Informatica;3.5;3;No;prestado.;familiar;propio.;No es real, es un pretexto de los gobiernos del mundo.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;4
10;Masculino;31/12/2000;Ingenieria de Sistemas E Informatica;3.8;2;propio.;No;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia con amigos.;Estudia todo el tema el dia anterior del examen.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
